dataset_label,term_id,importance_rank,difficulty_label,category,term,reading,aliases,era,macro_region,region_detail,display_period,sort_year,question_id,stage,focus,question_type,question,answer,keywords,accepted_answers,answer_note,source_name,source_url
大学受験世界史・通史骨格55用語（全300問）,WH-000001,18,大学受験標準,時代・歴史区分,新石器革命,しんせっきかくめい,農業革命,先史時代,世界,西アジアをはじめ世界各地,前1万年頃以降,-10000,WH-000001-B01,beginner,用語の特定,identify,狩猟・採集中心の生活から農耕・牧畜による食料生産へ移った大変化を何という？,新石器革命,新石器革命,農業革命,,世界史の窓：新石器革命／農業革命,https://www.y-history.net/appendix/wh0100-38_1.html
大学受験世界史・通史骨格55用語（全300問）,WH-000001,18,大学受験標準,時代・歴史区分,新石器革命,しんせっきかくめい,農業革命,先史時代,世界,西アジアをはじめ世界各地,前1万年頃以降,-10000,WH-000001-B02,beginner,時期,time,西アジアで農耕・牧畜が始まり、新石器革命が進み始めたのはいつ頃？,前1万年頃,前1万年頃,紀元前1万年頃,,世界史の窓：新石器革命／農業革命,https://www.y-history.net/appendix/wh0100-38_1.html
大学受験世界史・通史骨格55用語（全300問）,WH-000001,18,大学受験標準,時代・歴史区分,新石器革命,しんせっきかくめい,農業革命,先史時代,世界,西アジアをはじめ世界各地,前1万年頃以降,-10000,WH-000001-B03,beginner,結果,result,新石器革命による定住化で形成された基本的な居住共同体は？,村落,村落,定住村落,,世界史の窓：新石器革命／農業革命,https://www.y-history.net/appendix/wh0100-38_1.html
大学受験世界史・通史骨格55用語（全300問）,WH-000001,18,大学受験標準,時代・歴史区分,新石器革命,しんせっきかくめい,農業革命,先史時代,世界,西アジアをはじめ世界各地,前1万年頃以降,-10000,WH-000001-R01,reverse,内容,reverse,何が起きた？,**前1万年頃以降**、人々が**狩猟・採集**中心の生活から、**農耕・牧畜**による食料生産へ移り、**磨製石器**や**土器**を用いて定住生活を始めた。,狩猟・採集|農耕・牧畜|磨製石器|土器|定住生活,,,世界史の窓：新石器革命／農業革命,https://www.y-history.net/appendix/wh0100-38_1.html
大学受験世界史・通史骨格55用語（全300問）,WH-000001,18,大学受験標準,時代・歴史区分,新石器革命,しんせっきかくめい,農業革命,先史時代,世界,西アジアをはじめ世界各地,前1万年頃以降,-10000,WH-000001-R02,reverse,結果,reverse,社会はどのように変化した？,食料の安定と余剰によって人口が増え、**村落**が発達した。やがて分業や階層化が進み、**都市・国家**の成立につながった。,村落|分業|階層化|都市・国家,,,世界史の窓：新石器革命／農業革命,https://www.y-history.net/appendix/wh0100-38_1.html
大学受験世界史・通史骨格55用語（全300問）,WH-000001,18,大学受験標準,時代・歴史区分,新石器革命,しんせっきかくめい,農業革命,先史時代,世界,西アジアをはじめ世界各地,前1万年頃以降,-10000,WH-000001-I01,integrated,統合説明,integrated,「新石器革命」について説明せよ。,前1万年頃以降、人々が**狩猟・採集**から**農耕・牧畜**へ移り、**磨製石器**や**土器**を用いて定住するようになった変化。人口増加と余剰生産によって**村落**・分業・階層化が進み、のちの**都市・国家**形成につながった。,狩猟・採集|農耕・牧畜|磨製石器|土器|村落|都市・国家,,,世界史の窓：新石器革命／農業革命,https://www.y-history.net/appendix/wh0100-38_1.html
大学受験世界史・通史骨格55用語（全300問）,WH-000002,25,大学受験標準,文化・技術・学問,メソポタミア文明,めそぽたみあぶんめい,,古代,西アジア,ティグリス川・ユーフラテス川流域,前4千年紀〜前1千年紀,-3500,WH-000002-B01,beginner,用語の特定,identify,ティグリス川とユーフラテス川の流域に成立した古代文明は？,メソポタミア文明,メソポタミア文明,,,世界史の窓：メソポタミア文明,https://www.y-history.net/appendix/wh0101-004.html
大学受験世界史・通史骨格55用語（全300問）,WH-000002,25,大学受験標準,文化・技術・学問,メソポタミア文明,めそぽたみあぶんめい,,古代,西アジア,ティグリス川・ユーフラテス川流域,前4千年紀〜前1千年紀,-3500,WH-000002-B02,beginner,中心民族,actor,メソポタミア南部にウルやウルクなどの都市国家を築いた民族は？,シュメール人,シュメール人,シュメール,,世界史の窓：メソポタミア文明,https://www.y-history.net/appendix/wh0101-004.html
大学受験世界史・通史骨格55用語（全300問）,WH-000002,25,大学受験標準,文化・技術・学問,メソポタミア文明,めそぽたみあぶんめい,,古代,西アジア,ティグリス川・ユーフラテス川流域,前4千年紀〜前1千年紀,-3500,WH-000002-B03,beginner,文化,content,シュメール人が粘土板に刻んだ文字は？,楔形文字,楔形文字,くさび形文字,,世界史の窓：メソポタミア文明,https://www.y-history.net/appendix/wh0101-004.html
大学受験世界史・通史骨格55用語（全300問）,WH-000002,25,大学受験標準,文化・技術・学問,メソポタミア文明,めそぽたみあぶんめい,,古代,西アジア,ティグリス川・ユーフラテス川流域,前4千年紀〜前1千年紀,-3500,WH-000002-R01,reverse,複合説明,reverse,何が生まれ、どんな特徴をもった？,**前4千年紀以降**、**ティグリス川・ユーフラテス川**流域で灌漑農業が発達し、**シュメール人**が都市国家を築いた。**楔形文字**、神殿を中心とする社会、法典や暦などが発達し、後の西アジア文明の基礎になった。,ティグリス川・ユーフラテス川|灌漑農業|シュメール人|都市国家|楔形文字,,,世界史の窓：メソポタミア文明,https://www.y-history.net/appendix/wh0101-004.html
