"問題番号","問題スタイル","種類","問題文","回答","解説","出典URL","出典ファイル","出典ページ","出典行"
"WHSO-05-16-01-001","一問一答","用語の特定","唐の滅亡後、華北の5王朝と地方の諸国が興亡した時代を何というか？","五代十国時代。","強大化した藩鎮どうしが政権を争った時代。","","16_中華世界の変容（五代十国〜宋）.md","p.255","L38"
"WHSO-05-16-01-002","一問一答","時期","資料で、五代十国時代は何年から何年までとされているか？","907〜979年。","華北の「五代」だけの期間とは区別する。","","16_中華世界の変容（五代十国〜宋）.md","p.255","L38"
"WHSO-05-16-01-003","一問一答","場所","五代の王朝が基本的に都とした都市はどこか？","汴州（開封）。","後唐だけは洛陽を都とした。","","16_中華世界の変容（五代十国〜宋）.md","p.255","L39"
"WHSO-05-16-01-004","一問一答","主体","五代のうち、開封ではなく洛陽を都とした王朝は？","後唐。","都の例外と王朝名を対応させる。","","16_中華世界の変容（五代十国〜宋）.md","p.255","L39"
"WHSO-05-16-01-005","一問一答","主体","五代の5王朝を成立順に答えなさい。","後梁→後唐→後晋→後漢→後周。","華北で武人政権が交替した順序。","","16_中華世界の変容（五代十国〜宋）.md","p.255","L40"
"WHSO-05-16-01-006","一問一答","主体","建国時にキタイの援助を受け、燕雲十六州を割譲した王朝は？","後晋。","軍事援助の代償として領土を渡した。","","16_中華世界の変容（五代十国〜宋）.md","p.255;p.256","L41;L86"
"WHSO-05-16-01-007","一問一答","場所","後晋がキタイの建国援助と引き換えに割譲した地域は？","燕雲十六州。","万里の長城の内側に位置した。","","16_中華世界の変容（五代十国〜宋）.md","p.255;p.256","L41;L86"
"WHSO-05-16-01-008","一問一答","逆向きの説明","五代十国時代の「十国」とは何か？","江南・華南などで、藩鎮が自立して形成した諸国。","華北の5王朝である「五代」と区別する。","","16_中華世界の変容（五代十国〜宋）.md","p.255;p.256","L42;L88"
"WHSO-05-16-01-009","一問一答","人物","唐を滅ぼし、開封を都に後梁を建てた人物は？","朱全忠。","黄巣の乱から寝返って唐の節度使となった人物。","","16_中華世界の変容（五代十国〜宋）.md","p.256","L82"
"WHSO-05-16-01-010","一問一答","内容","朱全忠は、後梁建国までにどのような立場の変化をたどったか？","黄巣の乱に参加したのち唐の節度使となり、唐を滅ぼして後梁を建てた。","人物名だけでなく政権成立までの経緯を確認する。","","16_中華世界の変容（五代十国〜宋）.md","p.256","L82"
"WHSO-05-16-01-011","一問一答","原因","後梁が成立しても、中国全体が統一されなかったのはなぜか？","各地の藩鎮が軍事・民政・財政の権限を握り、半独立の状態を保っていたため。","唐の滅亡だけでは地方分権は解消しなかった。","","16_中華世界の変容（五代十国〜宋）.md","p.256","L82"
"WHSO-05-16-01-012","一問一答","内容","唐末から五代十国期にかけて、藩鎮が握った主な権限を3つ答えなさい。","軍事権・民政権・財政権。","地方の軍隊だけでなく行政・財政も支配した。","","16_中華世界の変容（五代十国〜宋）.md","p.256","L82"
"WHSO-05-16-01-013","一問一答","原因","五代で王朝交替が相次いだ背景は何か？","有力な節度使が軍事力を背景に皇帝の地位を奪ったため。","武力を優先する政治のあり方と結びつける。","","16_中華世界の変容（五代十国〜宋）.md","p.256","L84"
"WHSO-05-16-01-014","一問一答","主体","五代のうち、トルコ系の突厥沙陀出身者が建てた3王朝は？","後唐・後晋・後漢。","五代の並びの中央3王朝にあたる。","","16_中華世界の変容（五代十国〜宋）.md","p.256","L84"
"WHSO-05-16-01-015","一問一答","人物","キタイの軍事援助を受けて後晋を建てた人物は？","石敬瑭。","援助と引き換えに燕雲十六州を割譲した。","","16_中華世界の変容（五代十国〜宋）.md","p.256","L86"
"WHSO-05-16-01-016","一問一答","内容","石敬瑭はキタイの軍事援助に対し、領土以外にどのような対応をとったか？","キタイに臣下の礼をとった。","領土の割譲と政治的な従属をあわせて確認する。","","16_中華世界の変容（五代十国〜宋）.md","p.256","L86"
"WHSO-05-16-01-017","一問一答","原因","燕雲十六州の割譲が、その後の中国王朝の防衛を難しくしたのはなぜか？","万里の長城の内側の地域がキタイの支配下に入り、南下の拠点となったため。","地域の位置と軍事的な影響を結びつける。","","16_中華世界の変容（五代十国〜宋）.md","p.256","L86"
"WHSO-05-16-01-018","一問一答","人物","五代最後の後周で、禁軍強化や財政改革・廃仏を行った第2代皇帝は？","世宗。","唐末以来の混乱を終わらせ、皇帝権を強めようとした。","","16_中華世界の変容（五代十国〜宋）.md","p.256","L86"
"WHSO-05-16-01-019","一問一答","逆向きの説明","禁軍とはどのような軍隊か？","皇帝直属の軍隊。","後周の世宗は禁軍を強化した。","","16_中華世界の変容（五代十国〜宋）.md","p.256","L86"
"WHSO-05-16-01-020","一問一答","内容","後周の世宗は、どのような施策で皇帝権を強化したか？","禁軍の強化、財政改革、廃仏による寺院財産の没収。","軍事と財政の両面からの改革だった。","","16_中華世界の変容（五代十国〜宋）.md","p.256","L86"
"WHSO-05-16-01-021","一問一答","関係","「五代」と「十国」は、主な地域と政権のあり方がどう違うか？","五代は華北で交替した5王朝、十国は華中・華南などで自立した地方政権。","どちらも節度使の勢力を基盤としていた。","","16_中華世界の変容（五代十国〜宋）.md","p.256","L88"
"WHSO-05-16-01-022","一問一答","原因","五代十国の王朝交替のなかでも、文人官僚の機構が維持されたのはなぜか？","武人出身の皇帝が、国を統治するために文人官僚の協力を必要としたため。","皇帝の交替と官僚機構の継続は両立した。","","16_中華世界の変容（五代十国〜宋）.md","p.256","L90"
"WHSO-05-16-01-023","一問一答","人物","後唐から後周まで宰相として活躍した、五代の文人官僚の代表は？","馮道。","政権を越えて文人官僚が登用された例。","","16_中華世界の変容（五代十国〜宋）.md","p.256","L90"
"WHSO-05-16-01-024","一問一答","内容","五代十国期の藩鎮は、領内の農業発展のために何を進めたか？","農地の開発や治水事業。","領内の産業を育てて自らの国力を高めようとした。","","16_中華世界の変容（五代十国〜宋）.md","p.257","L118"
"WHSO-05-16-01-025","一問一答","場所","五代十国期に農業の発展が進み、経済的重要性を高めた流域は？","長江流域。","江南の開発と物流の活発化が結びついた。","","16_中華世界の変容（五代十国〜宋）.md","p.257","L118"
"WHSO-05-16-01-026","一問一答","原因","開封が都となることで江南から華北への物流が盛んになったのはなぜか？","開封が黄河と大運河の接点に位置していたため。","都の立地が江南の経済的重要性を高めた。","","16_中華世界の変容（五代十国〜宋）.md","p.257","L118"
"WHSO-05-16-01-027","一問一答","用語の特定","唐後半、土地私有が認められる背景となった税制は？","両税法。","資料では、土地投資と新興地主の成長につなげて説明される。","","16_中華世界の変容（五代十国〜宋）.md","p.257","L120"
"WHSO-05-16-01-028","一問一答","用語の特定","新興地主の私有地で耕作に従事した小作人を何というか？","佃戸。","地主である形勢戸と区別する。","","16_中華世界の変容（五代十国〜宋）.md","p.257","L120"
"WHSO-05-16-01-029","一問一答","用語の特定","五代十国期、佃戸を使い地域社会で力を強めた新興地主を何というか？","形勢戸。","経済発展による富を土地に投資して成長した。","","16_中華世界の変容（五代十国〜宋）.md","p.257","L120"
"WHSO-05-16-01-030","一問一答","関係","形勢戸と佃戸の関係を説明しなさい。","形勢戸は土地を所有する地主で、佃戸はその土地を耕す小作人。","土地所有と耕作の立場の違いを確認する。","","16_中華世界の変容（五代十国〜宋）.md","p.257","L120"
"WHSO-05-16-01-031","一問一答","原因","五代十国期に門閥貴族が没落した背景は何か？","武力を優先する政治と戦乱のなかで、貴族が土地や従来の地位を守れなくなったため。","新興地主の台頭と対比して押さえる。","","16_中華世界の変容（五代十国〜宋）.md","p.257","L120"
