"question_id","question","answer","explanation","type","style","source_url","source_file","source_page","source_line"
"WH-24-01-001","国内外の他の勢力に干渉されず、法律を定めて政治を動かす最高の権限を何というか？","主権。","近世ヨーロッパでは、国王が国内の最高権力を持つという主張と結びついた。","用語の特定","一問一答","","24_近世のヨーロッパ①（スペイン・オランダ）.md","382","32"
"WH-24-01-002","一定の領域内を統一的に支配し、他国・教皇・皇帝などの干渉を受けない国家を何というか？","主権国家。","国内での権力の統一と、対外的な独立の両面が重要である。","用語の特定","一問一答","","24_近世のヨーロッパ①（スペイン・オランダ）.md","382","32"
"WH-24-01-003","中世の封建国家と近世の主権国家では、国王の支配のあり方がどう異なるか？","封建国家では国王は主従関係の頂点に立ち、主権国家では一定の領域内の最高権力を握ろうとした。","中世には諸侯や聖職者、ギルドなどがそれぞれ特権を持っていた。","関係","一問一答","","24_近世のヨーロッパ①（スペイン・オランダ）.md","382","34"
"WH-24-01-004","主権国家体制では、国家同士の関係は、国の大小にかかわらず形式上どう位置づけられたか？","互いの主権を認め合う、対等な関係とされた。","一定のルールのもとで、外交や戦争を通じた勢力争いが展開された。","内容","一問一答","","24_近世のヨーロッパ①（スペイン・オランダ）.md","382","36"
"WH-24-01-005","1494年のフランス軍の侵入から始まり、イタリアの支配権をめぐって16世紀半ばまで続いた戦争は？","イタリア戦争。","当初はフランス・スペイン・神聖ローマ帝国などが、ナポリやミラノの支配権を争った。","用語の特定","一問一答","","24_近世のヨーロッパ①（スペイン・オランダ）.md","382","40"
"WH-24-01-006","シャルル8世のイタリア侵入によって、イタリア戦争が始まったのは何年か？","1494年。","終結は1559年のカトー＝カンブレジ条約である。","時期","一問一答","","24_近世のヨーロッパ①（スペイン・オランダ）.md","382","40"
"WH-24-01-007","ナポリ王位継承権を主張してイタリアへ侵入し、イタリア戦争を開始したフランス王は？","シャルル8世。","百年戦争後に国内統一を進めたフランスが、対外進出に乗り出した。","人物","一問一答","","24_近世のヨーロッパ①（スペイン・オランダ）.md","382","40"
"WH-24-01-008","シャルル8世は、どのような権利を口実としてイタリアへ侵入したか？","ナポリ王位の継承権。","イタリアの小国の支配権をめぐる争いが、ヨーロッパ諸国を巻き込んだ。","原因","一問一答","","24_近世のヨーロッパ①（スペイン・オランダ）.md","382","40"
"WH-24-01-009","スペイン王カルロス1世と神聖ローマ皇帝カール5世は、どのような関係にあるか？","同一人物であり、スペイン王と神聖ローマ皇帝を兼ねた。","ハプスブルク家が二つの大国を支配し、フランスに対して優勢になった。","関係","一問一答","","24_近世のヨーロッパ①（スペイン・オランダ）.md","383","52"
"WH-24-01-010","カール5世の即位後、イタリア戦争は主にどの二つの王家による覇権争いとなったか？","フランスのヴァロワ家と、スペイン・神聖ローマ帝国のハプスブルク家。","スペイン王と神聖ローマ皇帝の兼任によって、ハプスブルク家の勢力が強まった。","関係","一問一答","","24_近世のヨーロッパ①（スペイン・オランダ）.md","383","52"
"WH-24-01-011","教皇がフランスと結んだことに対し、カール5世側がローマを攻撃した事件を何というか？","ローマ劫掠。","皇帝と教皇の権威よりも、各勢力の政治的利害が優先されたことを示している。","用語の特定","一問一答","","24_近世のヨーロッパ①（スペイン・オランダ）.md","383","54"
"WH-24-01-012","イタリア戦争でハプスブルク家に対抗するため、フランスが宗教・宗派を越えて結んだ勢力は？","ドイツのルター派諸侯と、オスマン帝国。","フランスはスペインと神聖ローマ帝国に挟まれており、対抗勢力との連携を図った。","主体","一問一答","","24_近世のヨーロッパ①（スペイン・オランダ）.md","383","54"
"WH-24-01-013","イタリア戦争で、宗教・宗派の違いを越えた同盟が結ばれたことは、外交の何を示すか？","宗教上の一体性より、各国の勢力拡大や国益が優先されたこと。","中世のカトリック共同体的な結びつきが弱まり、主権国家間の国際関係が形成された。","内容","一問一答","","24_近世のヨーロッパ①（スペイン・オランダ）.md","383","54"
"WH-24-01-014","カール5世は、スペイン・ネーデルラントと、オーストリア・ベーメン・皇帝位を、それぞれ誰に分けたか？","前者は息子フェリペ2世、後者は弟フェルディナント1世。","スペイン王位と神聖ローマ皇帝位の継承先が分かれた。","関係","一問一答","","24_近世のヨーロッパ①（スペイン・オランダ）.md","383","54"
"WH-24-01-015","1559年にスペインとフランスが結び、イタリア戦争を終結させた条約は？","カトー＝カンブレジ条約。","フェリペ2世のスペインが優位に立った状態で、長期の戦争が終結した。","用語の特定","一問一答","","24_近世のヨーロッパ①（スペイン・オランダ）.md","383","54"
"WH-24-01-016","カトー＝カンブレジ条約によって、イタリア戦争が終結したのは何年か？","1559年。","1494年に始まったイタリア戦争の終結年として押さえる。","時期","一問一答","","24_近世のヨーロッパ①（スペイン・オランダ）.md","383","54"
"WH-24-01-017","カトー＝カンブレジ条約によって、フランスとスペインのイタリア支配はどう変化したか？","フランスはイタリアの支配権を放棄し、スペインはミラノ・ナポリ・シチリア・サルデーニャなどを獲得した。","スペイン＝ハプスブルク家のイタリア支配と、ヨーロッパでの覇権が確立した。","結果","一問一答","","24_近世のヨーロッパ①（スペイン・オランダ）.md","383","54"
"WH-24-01-018","イタリア戦争が主権国家体制の形成につながった理由を、外交と国内統治から説明しなさい。","国益と勢力均衡を重視する外交が広がり、国境の形成とともに国王が中央集権化・常備軍の整備を進めたため。","教皇・皇帝の普遍的権威より、個々の国家の主権と利害が重視されるようになった。","統合説明","一問一答","","24_近世のヨーロッパ①（スペイン・オランダ）.md","384","75"
"WH-24-01-019","イタリア戦争のなかで、各国が他国に外交使節を常駐させるようになったのはなぜか？","同盟関係の変化に対応して交渉し、一国の強大化を防ぐ勢力均衡を図るため。","継続的な外交交渉は、のちの国際法につながるルールの形成にもつながった。","原因","一問一答","","24_近世のヨーロッパ①（スペイン・オランダ）.md","384","77"
"WH-24-01-020","一国だけが強大にならないよう、各国が同盟や外交によって力の釣り合いを保つ考え方は？","勢力均衡。","イタリア戦争では、各国が外交使節を常駐させて交渉するようになった。","用語の特定","一問一答","","24_近世のヨーロッパ①（スペイン・オランダ）.md","384","77"
"WH-24-01-021","小銃・大砲を装備する常備軍の整備によって、軍の編成や戦術が変化したことを何というか？","軍事革命。","中世の騎士の重要性が低下し、軍事面での中央集権化が進んだ。","用語の特定","一問一答","","24_近世のヨーロッパ①（スペイン・オランダ）.md","384","77"
