"問題番号","問題スタイル","種類","問題文","回答","解説","出典URL","出典ファイル","出典ページ","出典行"
"WHSO-05-19-04-001","一問一答","人物","15世紀、東南アジアを明の冊封体制に組み込むため、鄭和の艦隊を派遣した皇帝は？","永楽帝。","東南アジアの変化を、中国側の海上政策と結びつける。","","19_東南アジア世界.md","p.308","L216"
"WHSO-05-19-04-002","一問一答","結果","鄭和の遠征後、東南アジア諸国と明の関係はどうなったか？","多くの国が明に朝貢するようになった。","海禁政策も、東南アジアの交易のあり方に影響した。","","19_東南アジア世界.md","p.308","L216"
"WHSO-05-19-04-003","一問一答","主体","14世紀半ばにスコータイ朝から自立し、マレー半島への進出を図ったタイの王朝は？","アユタヤ朝。","マラッカ王国を圧迫し、海上交易路への支配拡大を目指した。","","19_東南アジア世界.md","p.308","L218"
"WHSO-05-19-04-004","一問一答","原因","アユタヤ朝がマレー半島へ進出しようとした目的は？","海上交易を押さえるため。","内陸の支配だけでなく、海域の交易も重要であった。","","19_東南アジア世界.md","p.308","L218"
"WHSO-05-19-04-005","一問一答","主体","アユタヤ朝の圧迫に対抗するため、明に朝貢して保護を受けた王国は？","マラッカ王国。","鄭和の遠征が、東南アジアの国家間関係にも影響した。","","19_東南アジア世界.md","p.308;p.309","L218;L242"
"WHSO-05-19-04-006","一問一答","内容","明の保護は、マラッカとアユタヤの関係をどう変えたか？","明がアユタヤに圧力をかけ、マラッカはタイの支配を脱した。","朝貢による政治的保護が、マラッカの自立を支えた。","","19_東南アジア世界.md","p.309","L242"
"WHSO-05-19-04-007","一問一答","場所","明の保護を受けたマラッカ王国が押さえ、インド洋交易の重要拠点となった海峡は？","マラッカ海峡。","マレー半島とスマトラ島の間にある。","","19_東南アジア世界.md","p.309","L242"
"WHSO-05-19-04-008","一問一答","内容","マラッカ王国の国王が受容し、海上商人の来航や布教拠点化につながった宗教は？","イスラーム教。","ムスリム商人の交易と宗教の広がりが結びついた。","","19_東南アジア世界.md","p.309","L242"
"WHSO-05-19-04-009","一問一答","結果","マラッカ王国のイスラーム教受容は、東南アジアの宗教にどのような影響を与えたか？","マラッカが布教の中心となり、香料貿易のルートに沿ってイスラーム教が広がった。","ジャワ島北岸の港市への広がりが重要である。","","19_東南アジア世界.md","p.309","L242"
"WHSO-05-19-04-010","一問一答","場所","マラッカと交易で結ばれ、イスラーム教が広がったジャワ島の地域は？","北岸の港市。","島全体を一度に同じ宗教が支配したとは説明されていない。","","19_東南アジア世界.md","p.309","L242"
"WHSO-05-19-04-011","一問一答","原因","マジャパヒト王国が15世紀以降に衰退した、交易と宗教の背景は？","イスラーム化したジャワ北部の港市がマラッカと結びつき、ヒンドゥー教国のマジャパヒトが弱まったため。","港市間の交易関係と宗教の変化をあわせて理解する。","","19_東南アジア世界.md","p.309","L242"
"WHSO-05-19-04-012","一問一答","関係","マラッカに来た中国商人とジャワ商人は、それぞれどのような物産を運んだか？","中国商人は陶磁器や絹、ジャワ商人はモルッカ諸島の香辛料を運んだ。","異なる地域の物産が、マラッカで集積した。","","19_東南アジア世界.md","p.309","L242"
"WHSO-05-19-04-013","一問一答","内容","マラッカにムスリム商人が持ち込んだ物産として、本文に挙げられるものは？","香辛料・宝石・銀。","中国商人やジャワ商人も来航する多方面交易の拠点だった。","","19_東南アジア世界.md","p.309","L242"
"WHSO-05-19-04-014","一問一答","内容","アユタヤ朝は明への朝貢後、どのような交易で発展したか？","内陸の物産を中国や琉球などへ運ぶ交易。","内陸部と海上交易圏をつなぐ国家として捉える。","","19_東南アジア世界.md","p.309","L244"
"WHSO-05-19-04-015","一問一答","内容","アユタヤ朝が保護し、国家の支柱とした仏教の系統は？","上座部仏教。","先行するスコータイ朝からの宗教的なつながりも押さえる。","","19_東南アジア世界.md","p.309;p.307","L244;L186"
"WHSO-05-19-04-016","一問一答","主体","16世紀初め、マラッカを征服したヨーロッパの国は？","ポルトガル。","その後、ムスリム商人は従来と異なる交易路を開拓した。","","19_東南アジア世界.md","p.309","L248"
"WHSO-05-19-04-017","一問一答","人物","ポルトガルのマラッカ征服を率いたインド総督は？","アルブケルケ。","人物とマラッカ征服を対応させる。","","19_東南アジア世界.md","p.309","L248"
