"question_id","question","answer","explanation","type","style","source_url","source_file","source_page","source_line"
"WH-29-02-001","トラファルガーの海戦とアウステルリッツの戦いが起きたのは何年か？","1805年。","同じ年に、海上ではフランス側が敗北し、大陸ではナポレオンが勝利した。","時期","一問一答","","29_ナポレオンの時代.md","465","145"
"WH-29-02-002","ライン同盟の結成に伴い、神聖ローマ帝国が消滅したのは何年か？","1806年。","帝国の形骸化が進んだ1648年のウェストファリア条約とは区別する。","時期","一問一答","","29_ナポレオンの時代.md","465","148"
"WH-29-02-003","ナポレオンが大陸封鎖令を発したのは何年か？","1806年。","プロイセンの首都ベルリンを占領した後に発したため、ベルリン勅令とも呼ばれる。","時期","一問一答","","29_ナポレオンの時代.md","465","150"
"WH-29-02-004","ナポレオンの皇帝即位後、ピットがオーストリア・ロシアを誘って結成した同盟は？","第3回対仏大同盟。","資料では、1805年に成立し、アウステルリッツの戦いで崩壊したとされる。","用語の特定","一問一答","","29_ナポレオンの時代.md","465","168"
"WH-29-02-005","第3回対仏大同盟で、イギリスが大陸側の中心として誘った二国は？","オーストリアとロシア。","この段階では、資料はプロイセンを中立としている。","主体","一問一答","","29_ナポレオンの時代.md","465","168"
"WH-29-02-006","イギリスが地中海と大西洋の出入りを押さえる要衝として保有した場所は？","ジブラルタル。","資料では、1713年のユトレヒト条約以来の拠点として説明される。","場所","一問一答","","29_ナポレオンの時代.md","466","180"
"WH-29-02-007","1805年、フランス・スペイン連合艦隊がイギリス艦隊に敗れた海戦は？","トラファルガーの海戦。","敗北により、ナポレオンはイギリス上陸を断念した。","用語の特定","一問一答","","29_ナポレオンの時代.md","466","180"
"WH-29-02-008","トラファルガーの海戦で勝利したが、戦闘中に戦死したイギリス海軍の指揮官は？","ネルソン。","エジプト遠征時のアブキール湾の戦いでも、フランス艦隊を破っていた。","人物","一問一答","","29_ナポレオンの時代.md","466","180"
"WH-29-02-009","トラファルガーの海戦で、イギリスと戦った連合艦隊はどの二国の艦隊か？","フランスとスペイン。","フランス単独ではなく、両国の連合艦隊だった。","主体","一問一答","","29_ナポレオンの時代.md","466","180"
"WH-29-02-010","トラファルガーの海戦での敗北は、ナポレオンの軍事方針をどう変えたか？","イギリス上陸を断念し、大陸制覇に集中することになった。","海上のイギリス優位と、大陸でのフランスの優位が並存した。","結果","一問一答","","29_ナポレオンの時代.md","466","180"
"WH-29-02-011","1805年、ナポレオンがオーストリア・ロシア連合軍を破った三帝会戦は？","アウステルリッツの戦い。","トラファルガーの海戦とは、勝敗も戦闘の舞台も異なる。","用語の特定","一問一答","","29_ナポレオンの時代.md","467","224"
"WH-29-02-012","アウステルリッツの三帝会戦における三人の皇帝は？","ナポレオン1世、フランツ2世、アレクサンドル1世。","それぞれフランス、オーストリアの神聖ローマ皇帝、ロシアの皇帝である。","人物","一問一答","","29_ナポレオンの時代.md","467","224"
"WH-29-02-013","アウステルリッツでナポレオンに敗れた連合軍の二国は？","オーストリアとロシア。","敗北後、第3回対仏大同盟が崩壊した。","主体","一問一答","","29_ナポレオンの時代.md","467","224"
"WH-29-02-014","アウステルリッツの勝利後、ナポレオンが結んだ和約は？","プレスブルクの和約。","資料では、ナポレオンのイタリア支配を認めさせた和約とされる。","用語の特定","一問一答","","29_ナポレオンの時代.md","467","224"
"WH-29-02-015","1805年のトラファルガーとアウステルリッツでは、フランス側の勝敗がどう違うか？","トラファルガーではイギリス艦隊に敗れ、アウステルリッツではオーストリア・ロシア連合軍に勝利した。","海戦での敗北を、そのまま大陸での敗北と混同しない。","関係","一問一答","","29_ナポレオンの時代.md","467","224"
"WH-29-02-016","第1〜3回対仏大同盟の崩壊につながった遠征・戦いを順に答えなさい。","第1回は第1次イタリア遠征、第2回は第2次イタリア遠征とアミアンの和約、第3回はアウステルリッツの戦い。","資料の比較表は、各回の結成事情と崩壊の契機を対応させている。","関係","一問一答","","29_ナポレオンの時代.md","467","228"
"WH-29-02-017","資料が、第1〜3回対仏大同盟のいずれも提唱したとしているイギリス首相は？","ピット。","対仏包囲網の形成を繰り返し主導した人物として押さえる。","人物","一問一答","","29_ナポレオンの時代.md","467","238"
"WH-29-02-018","1806年、ナポレオンの影響下で西南ドイツの諸領邦が結成した同盟は？","ライン同盟。","16の領邦が参加し、神聖ローマ帝国の消滅につながった。","用語の特定","一問一答","","29_ナポレオンの時代.md","467","240"
"WH-29-02-019","ライン同盟の結成に伴って消滅した帝国は？","神聖ローマ帝国。","皇帝フランツ2世が帝位を辞退し、帝国は名実ともに消滅した。","主体","一問一答","","29_ナポレオンの時代.md","467","240"
