"question_id","question","answer","explanation","type","style","source_url","source_file","source_page","source_line"
"WH-27-02-001","機械制工場の発達を伴い、農業社会から工業社会への転換をもたらした変化は？","産業革命。","単なる機械の発明だけでなく、経済・社会の構造変化まで含む。","用語の特定","一問一答","","27_産業革命とアメリカ独立革命.md","432","132"
"WH-27-02-002","工場で動力を用いた機械によって生産する方式を何というか？","機械制工場（工場制機械工業）。","手作業を中心とするマニュファクチュアとの違いを押さえる。","用語の特定","一問一答","","27_産業革命とアメリカ独立革命.md","432","132"
"WH-27-02-003","産業革命を、狭い意味と広い意味でそれぞれ説明しなさい。","狭義では機械制工場の発達、広義では農業社会から工業社会への転換と資本主義社会の成立。","技術の変化と、社会全体の変化を区別しつつ関連づける。","関係","一問一答","","27_産業革命とアメリカ独立革命.md","432","132"
"WH-27-02-004","産業革命によって社会の中心となった、工場などを経営する階級は？","産業資本家。","従来の地主階級に加え、産業を経営する人々が経済を動かす存在となった。","用語の特定","一問一答","","27_産業革命とアメリカ独立革命.md","432","132"
"WH-27-02-005","商人が職人や農民に原料・道具を提供し、それぞれの家で生産させる方式は？","問屋制（問屋制家内工業／プロト工業）。","労働者を一つの工場に集める方式とは異なる。","用語の特定","一問一答","","27_産業革命とアメリカ独立革命.md","433","142"
"WH-27-02-006","職人や労働者を工場に集め、分業による手作業で生産する方式は？","工場制手工業（マニュファクチュア）。","工場に集まっていても、機械による生産とは限らない。","用語の特定","一問一答","","27_産業革命とアメリカ独立革命.md","433","142"
"WH-27-02-007","問屋制家内工業・マニュファクチュア・工場制機械工業の違いは？","問屋制は各家庭で生産し、マニュファクチュアは工場で分業する手工業、工場制機械工業は動力を使う機械で生産する。","生産場所と、手作業か機械かの二軸で整理する。","関係","一問一答","","27_産業革命とアメリカ独立革命.md","433","142"
"WH-27-02-008","産業革命以前、イギリスでマニュファクチュアによって発達していた代表的な工業は？","毛織物工業。","それまでの工業の蓄積が、新たな生産方式を受け入れる基盤となった。","内容","一問一答","","27_産業革命とアメリカ独立革命.md","433","142"
"WH-27-02-009","産業革命に先立ち、イギリスで資本が蓄積された主な背景は？","大西洋三角貿易や、北米・西インド諸島のプランテーション貿易の利益。","植民地戦争の勝利によって、原料や市場も拡大した。","原因","一問一答","","27_産業革命とアメリカ独立革命.md","433","144"
"WH-27-02-010","17世紀後半以降のイギリスで、北米・西インド諸島との貿易拡大による貿易構造の変化を、資料では何と呼ぶか？","商業革命。","大西洋のプランテーション貿易を通じて、イギリスに資本が蓄積された。","用語の特定","一問一答","","27_産業革命とアメリカ独立革命.md","433","144"
