"問題番号","問題スタイル","種類","問題文","回答","解説","出典URL","出典ファイル","出典ページ","出典行"
"WHSO-05-16-04-001","一問一答","主体","キタイ（契丹）を建てたのは、何系の民族か？","モンゴル系のキタイ族。","西夏のタングート族、金の女真族と区別する。","","16_中華世界の変容（五代十国〜宋）.md","p.263","L376"
"WHSO-05-16-04-002","一問一答","人物","キタイ族を統合し、キタイを建てた太祖は？","耶律阿保機。","上京臨潢府を都とした。","","16_中華世界の変容（五代十国〜宋）.md","p.263","L376"
"WHSO-05-16-04-003","一問一答","場所","キタイが建国時に都とした都市は？","上京臨潢府。","金の上京会寧府と混同しない。","","16_中華世界の変容（五代十国〜宋）.md","p.263","L376"
"WHSO-05-16-04-004","一問一答","主体","耶律阿保機が東方へ勢力を広げる際に滅ぼした国は？","渤海。","キタイは万里の長城の北側に大きな勢力を築いた。","","16_中華世界の変容（五代十国〜宋）.md","p.263","L376"
"WHSO-05-16-04-005","一問一答","人物","後晋の建国を援助し、燕雲十六州を獲得したキタイの第2代君主は？","太宗（耶律堯骨）。","後晋の石敬瑭との関係を押さえる。","","16_中華世界の変容（五代十国〜宋）.md","p.263","L376"
"WHSO-05-16-04-006","一問一答","用語の特定","キタイが用いた中国風の国号は？","遼。","資料ではキタイと遼の両方の表記が使われる。","","16_中華世界の変容（五代十国〜宋）.md","p.263","L376"
"WHSO-05-16-04-007","一問一答","人物","北宋と澶淵の盟を結んだキタイの君主は？","聖宗。","北宋側の君主は真宗。","","16_中華世界の変容（五代十国〜宋）.md","p.263","L378"
"WHSO-05-16-04-008","一問一答","用語の特定","キタイが遊牧民と農耕民を異なる制度で支配した体制は？","二重統治体制。","金も同様に住民に応じて制度を使い分けた。","","16_中華世界の変容（五代十国〜宋）.md","p.263","L380"
"WHSO-05-16-04-009","一問一答","原因","キタイが二重統治体制を採用した理由は？","遊牧民と農耕民の生活の違いに対応し、遊牧民の独自性を維持するため。","中国文化への一方的な同化を避けようとした。","","16_中華世界の変容（五代十国〜宋）.md","p.263","L380"
"WHSO-05-16-04-010","一問一答","関係","キタイの二重統治体制で、遊牧民と農耕民にはそれぞれ何制を用いたか？","遊牧民には部族制、農耕民には州県制。","移動生活と定住生活の違いに対応した。","","16_中華世界の変容（五代十国〜宋）.md","p.263","L380"
"WHSO-05-16-04-011","一問一答","用語の特定","キタイで遊牧民を部族制によって支配した官制は？","北面官。","農耕民を支配した南面官と対応させる。","","16_中華世界の変容（五代十国〜宋）.md","p.263","L380"
"WHSO-05-16-04-012","一問一答","用語の特定","キタイで農耕民を州県制によって支配した官制は？","南面官。","遊牧民を支配した北面官と対応させる。","","16_中華世界の変容（五代十国〜宋）.md","p.263","L380"
"WHSO-05-16-04-013","一問一答","内容","キタイは法律と地方の中心都市をどのように整備したか？","南北で異なる法律を定め、支配地域を五つに分ける五京の制度を置いた。","住民の生活の違いを法律にも反映した。","","16_中華世界の変容（五代十国〜宋）.md","p.263","L380"
"WHSO-05-16-04-014","一問一答","用語の特定","キタイが民族的独自性を保つため制定した文字は？","契丹文字。","中国に対抗する独自文化の形成と結びつく。","","16_中華世界の変容（五代十国〜宋）.md","p.264","L397"
"WHSO-05-16-04-015","一問一答","主体","キタイ支配下から自立し、北宋と同盟してキタイを滅ぼした王朝は？","金。","女真族が建てた王朝。","","16_中華世界の変容（五代十国〜宋）.md","p.264","L397"
