"question_id","question","answer","explanation","type","style","source_url","source_file","source_page","source_line"
"WH-29-01-001","テルミドールの反動後、総裁政府成立の根拠となった憲法は？","1795年憲法（共和暦3年憲法）。","恐怖政治の後、一人に権力が集中しない政治制度を目指してつくられた。","用語の特定","一問一答","","29_ナポレオンの時代.md","460","31"
"WH-29-01-002","1795年憲法に基づいて成立した、5人の総裁が行政を担う政府は？","総裁政府。","二院制の議会と複数の総裁を置き、財産による制限選挙を復活させた。","用語の特定","一問一答","","29_ナポレオンの時代.md","460","31"
"WH-29-01-003","総裁政府期、私有財産の廃止と平等を目指して計画されたクーデタは？","バブーフの陰謀。","1796年に計画されたが、事前に発覚して実行されなかった。","用語の特定","一問一答","","29_ナポレオンの時代.md","460","33"
"WH-29-01-004","ナポレオンがブリュメール18日のクーデタを起こしたのは何年か？","1799年。","総裁政府を倒して統領政府を成立させ、資料ではフランス革命の終焉とされる。","時期","一問一答","","29_ナポレオンの時代.md","460","38"
"WH-29-01-005","1799年のクーデタによって成立し、第一統領ナポレオンに権力が集中した政府は？","統領政府。","皇帝になる前の政体であり、1804年の第一帝政とは区別する。","用語の特定","一問一答","","29_ナポレオンの時代.md","460","39"
"WH-29-01-006","ナポレオンが国内経済を安定させるため、1800年に設立した銀行は？","フランス銀行。","中央銀行の設立を通じ、財政・経済の安定を図った。","用語の特定","一問一答","","29_ナポレオンの時代.md","460","40"
"WH-29-01-007","ナポレオンが1801年に教皇と結び、カトリックとの関係を修復した協約は？","宗教協約（コンコルダート）。","教皇ピウス7世との間で結ばれた。","用語の特定","一問一答","","29_ナポレオンの時代.md","460","41"
"WH-29-01-008","1802年、イギリスとフランスの間で結ばれ、一時的な平和をもたらした和約は？","アミアンの和約。","第2回対仏大同盟の崩壊につながり、ナポレオンは終身統領となった。","用語の特定","一問一答","","29_ナポレオンの時代.md","460","42"
"WH-29-01-009","1804年、私有財産の不可侵などをまとめたフランスの民法典は？","ナポレオン法典。","制定時は「フランス人の民法典」と呼ばれ、1807年に改称された。","用語の特定","一問一答","","29_ナポレオンの時代.md","460","43"
"WH-29-01-010","ナポレオン1世が皇帝となり、フランス第一帝政が成立したのは何年か？","1804年。","1799年の統領政府成立、1802年の終身統領就任より後である。","時期","一問一答","","29_ナポレオンの時代.md","460","44"
"WH-29-01-011","総裁政府で権力を一人に集中させない制度が採用された背景は？","山岳派の恐怖政治を経験し、再び一人の独裁者が現れるのを避けようとしたため。","そのため、総裁を5人とし、議会も二院制にした。","原因","一問一答","","29_ナポレオンの時代.md","460","48"
"WH-29-01-012","総裁政府の行政首脳の人数・議会制度・選挙制度を答えなさい。","総裁5人、二院制、財産による制限選挙。","権力集中を避けた一方、政策をまとめにくい仕組みだったと資料は説明する。","内容","一問一答","","29_ナポレオンの時代.md","460","50"
"WH-29-01-013","1795年憲法による制限選挙の復活は、貧しい民衆の政治参加にどのような影響を与えたか？","財産を持たない民衆が政治参加から排除された。","国民公会選出時の男子普通選挙から後退した点を押さえる。","結果","一問一答","","29_ナポレオンの時代.md","460","50"
"WH-29-01-014","1795年、王党派の反乱を鎮圧して頭角を現した軍人は？","ナポレオン＝ボナパルト。","この後、イタリア遠征で軍事的な実績を重ねた。","人物","一問一答","","29_ナポレオンの時代.md","461","60"
