"問題番号","問題スタイル","種類","問題文","回答","解説","出典URL","出典ファイル","出典ページ","出典行"
"WHSO-05-17-01-001","一問一答","人物","1206年、モンゴル高原を統一して大モンゴル国を建てた人物は？","チンギス＝ハン（カン）。","即位前の名はテムジン。","","17_モンゴル帝国の時代.md","p.270;p.271","L32-L34;L77"
"WHSO-05-17-01-002","一問一答","用語の特定","モンゴルで、ハンを選ぶ部族のリーダーたちの会議を何というか？","クリルタイ。","チンギス＝ハンもこの会議で選ばれた。","","17_モンゴル帝国の時代.md","p.270;p.271","L33;L77"
"WHSO-05-17-01-003","一問一答","時期","大モンゴル国が成立したのは何年か？","1206年。","チンギス＝ハンの即位と対応する。","","17_モンゴル帝国の時代.md","p.270","L33-L34"
"WHSO-05-17-01-004","一問一答","用語の特定","大モンゴル国をモンゴル語で何というか？","イェケ＝モンゴル＝ウルス。","資料ではモンゴル帝国とも表記される。","","17_モンゴル帝国の時代.md","p.270","L34"
"WHSO-05-17-01-005","一問一答","用語の特定","チンギス＝ハンが遊牧民を再編し、政治・社会・軍事の基礎とした制度は？","千戸制。","約1000人の兵士を出せる千人隊を単位とした。","","17_モンゴル帝国の時代.md","p.270;p.271","L35;L79"
"WHSO-05-17-01-006","一問一答","場所","チンギス＝ハンの中央アジア遠征で制圧された主要な交易路は？","オアシスの道（シルクロード）。","オゴデイ時代の草原の道の制圧と対応させる。","","17_モンゴル帝国の時代.md","p.270;p.272","L36;L98-L100"
"WHSO-05-17-01-007","一問一答","主体","中央アジアでカラ＝キタイを乗っ取り、その後モンゴルに倒された部族は？","ナイマン部。","チンギス＝ハンの西方遠征で征服された。","","17_モンゴル帝国の時代.md","p.270;p.272","L37;L100"
"WHSO-05-17-01-008","一問一答","主体","チンギス＝ハンが中央アジア進出の際に打倒したイスラーム王朝は？","ホラズム＝シャー朝（ホラズム朝）。","その後、モンゴル軍は西北インドにも侵入した。","","17_モンゴル帝国の時代.md","p.270","L38"
"WHSO-05-17-01-009","一問一答","主体","チンギス＝ハンが晩年に征服し、その遠征中に病死した際の相手国は？","西夏。","総覧では征服と病死を1227年とする。","","17_モンゴル帝国の時代.md","p.270","L39"
"WHSO-05-17-01-010","一問一答","人物","チンギス＝ハンの後を継いだ、モンゴル帝国の第2代君主は？","オゴデイ（オゴタイ）。","チンギス＝ハンの第3子。","","17_モンゴル帝国の時代.md","p.270;p.273","L40;L169-L173"
"WHSO-05-17-01-011","一問一答","場所","オゴデイがモンゴル高原に建設した都は？","カラコルム（和林）。","帝国各地を結ぶ交通整備の中心となった。","","17_モンゴル帝国の時代.md","p.270","L41"
"WHSO-05-17-01-012","一問一答","用語の特定","モンゴル帝国で整備された駅伝制の名称は？","ジャムチ。","各地に駅を設け、交通と連絡を支えた。","","17_モンゴル帝国の時代.md","p.270","L41"
"WHSO-05-17-01-013","一問一答","場所","オゴデイ時代のバトゥの西征で制圧された主要な交易路は？","草原の道。","中央アジアから南ロシアへ続く地域を押さえた。","","17_モンゴル帝国の時代.md","p.270;p.273","L42;L175"
"WHSO-05-17-01-014","一問一答","主体","オゴデイが1234年に征服した中国北方の王朝は？","金。","チンギス＝ハンの時代にはまだ滅亡していなかった。","","17_モンゴル帝国の時代.md","p.270","L43"
"WHSO-05-17-01-015","一問一答","時期","モンゴル軍によって金が滅亡したのは何年か？","1234年。","オゴデイの時代の出来事。","","17_モンゴル帝国の時代.md","p.270","L43"
"WHSO-05-17-01-016","一問一答","人物","オゴデイの命で大西征を指揮した、ジョチの子は？","バトゥ。","チンギス＝ハンの孫にあたる。","","17_モンゴル帝国の時代.md","p.270","L44"
"WHSO-05-17-01-017","一問一答","主体","バトゥの西征によって征服された、ルーシの主要な公国は？","キエフ公国。","南ロシア方面の支配拡大につながった。","","17_モンゴル帝国の時代.md","p.270","L45"
"WHSO-05-17-01-018","一問一答","用語の特定","1241年、モンゴル軍がドイツ・ポーランド連合軍を破ったとされる戦いは？","ワールシュタットの戦い（リーグニッツ／レグニツァの戦い）。","断定の強さは資料の「破ったとされる」に合わせた。","","17_モンゴル帝国の時代.md","p.270","L47-L48"
"WHSO-05-17-01-019","一問一答","主体","バトゥが西征後、ヴォルガ川流域に形成したハン国は？","キプチャク＝ハン国（ジョチ＝ウルス）。","ジョチ家のウルスとして成立した。","","17_モンゴル帝国の時代.md","p.270;p.273","L49;L175"
"WHSO-05-17-01-020","一問一答","人物","バトゥの支持を受けて即位した、モンゴル帝国の第4代君主は？","モンケ。","トゥルイの長子。","","17_モンゴル帝国の時代.md","p.270;p.273","L50;L177-L179"
"WHSO-05-17-01-021","一問一答","人物","モンケの命で西アジアに遠征し、バグダードを攻略した人物は？","フレグ（フラグ）。","モンケの弟で、イル＝ハン国を形成した。","","17_モンゴル帝国の時代.md","p.270","L52-L53"
"WHSO-05-17-01-022","一問一答","場所","1258年、フレグが攻略してアッバース朝を滅亡させた都市は？","バグダード。","西アジア遠征の重要な拠点。","","17_モンゴル帝国の時代.md","p.270","L53"
"WHSO-05-17-01-023","一問一答","主体","フレグによる1258年のバグダード攻略で滅亡した王朝は？","アッバース朝。","モンゴルの進出とイスラーム世界の変化を結びつける。","","17_モンゴル帝国の時代.md","p.270","L53"
"WHSO-05-17-01-024","一問一答","主体","フレグがイラン地方に形成したハン国は？","イル＝ハン国（フレグ＝ウルス）。","ジョチ家・チャガタイ家のハン国と区別する。","","17_モンゴル帝国の時代.md","p.270","L54"
"WHSO-05-17-01-025","一問一答","人物","モンケから東方攻略を任され、雲南の大理を征服した弟は？","クビライ（フビライ）。","のちにカアンとなり、元を中心に統治した。","","17_モンゴル帝国の時代.md","p.270;p.274","L55;L196"
"WHSO-05-17-01-026","一問一答","主体","クビライが中国南西部の雲南で征服した国は？","大理。","宋代から雲南に成立していた政権。","","17_モンゴル帝国の時代.md","p.270","L55"
"WHSO-05-17-01-027","一問一答","人物","モンケの死後、クビライとカアン位を争った末弟は？","アリクブケ。","カラコルムで帝位に就き、クビライと戦った。","","17_モンゴル帝国の時代.md","p.270;p.274","L58;L204"
"WHSO-05-17-01-028","一問一答","用語の特定","オゴデイの孫がクビライに反抗し、長期の内紛となった争いは？","カイドゥ（ハイドゥ）の乱。","キプチャク＝ハン国やチャガタイ＝ハン国も関わった。","","17_モンゴル帝国の時代.md","p.270;p.274","L59;L206"
"WHSO-05-17-01-029","一問一答","原因","ウイグル滅亡後のモンゴル高原で部族間の抗争が続いた背景は？","キタイや金が遊牧民の部族間の対立をあおり、諸部族が争っていたため。","チンギス＝ハンによる統一以前の状況。","","17_モンゴル帝国の時代.md","p.271","L71"
"WHSO-05-17-01-030","一問一答","逆向きの説明","遊牧とは、どのような生活か？","家畜を連れ、季節ごとに餌場を求めて移動する生活。","資料では羊や馬などの家畜が例示される。","","17_モンゴル帝国の時代.md","p.271","L73"
"WHSO-05-17-01-031","一問一答","逆向きの説明","資料で説明される遊牧国家の「部族制」とは？","部族のリーダーたちを王がまとめ、人のつながりを基礎として支配する仕組み。","領土だけを基礎とする国家像とは区別して説明される。","","17_モンゴル帝国の時代.md","p.271","L73"
"WHSO-05-17-01-032","一問一答","人物","チンギス＝ハンが即位する前の名は？","テムジン。","モンゴル部から登場した。","","17_モンゴル帝国の時代.md","p.271","L77"
"WHSO-05-17-01-033","一問一答","主体","テムジンがモンゴル高原統一の過程で破った、本文に挙げられる二つの部族は？","ケレイト部とナイマン部。","部族間の抗争を経て統一が進んだ。","","17_モンゴル帝国の時代.md","p.271","L77"
"WHSO-05-17-01-034","一問一答","逆向きの説明","モンゴル帝国の千戸制とは何か？","遊牧民を約1000人の兵士を出せる千戸集団に再編し、統治と軍事の基礎にした制度。","チンギス＝ハンは95の千戸集団に再編した。","","17_モンゴル帝国の時代.md","p.271","L79"
"WHSO-05-17-01-035","一問一答","用語の特定","モンゴルで、部族集団を基礎に形成された「国」を何というか？","ウルス。","チンギス＝ハンの一族に軍団と遊牧地が分け与えられた。","","17_モンゴル帝国の時代.md","p.271","L79"
"WHSO-05-17-01-036","一問一答","内容","チンギス＝ハンは、一族にどのように支配を分担させたか？","息子や弟に千人隊と遊牧地を与え、それぞれのウルスを形成させた。","帝国は一族のウルスの連合として成り立った。","","17_モンゴル帝国の時代.md","p.271","L79"
"WHSO-05-17-01-037","一問一答","用語の特定","チンギス＝ハンが信頼する部下の子らから編成した親衛隊は？","ケシク。","千戸制による軍団とは別に、自らの下に置いた精鋭軍。","","17_モンゴル帝国の時代.md","p.271","L79"
"WHSO-05-17-01-038","一問一答","統合説明","チンギス＝ハンの国家づくりを、千戸制・ウルス・親衛隊から説明しなさい。","遊牧民を千戸集団に再編し、一族に軍団と遊牧地を与えてウルスを形成させ、ケシクを直属に置いた。","一族への権力集中と軍団の再編成が基礎となった。","","17_モンゴル帝国の時代.md","p.271","L79"
"WHSO-05-17-01-039","一問一答","内容","モンゴル時代の東西交易の三つの主要ルートを答えなさい。","オアシスの道・草原の道・海の道。","海の道はセラミック＝ロードとも呼ばれる。","","17_モンゴル帝国の時代.md","p.272","L98"
"WHSO-05-17-01-040","一問一答","結果","チンギス＝ハンに中都を攻略された金は、どう対応したか？","黄河の北側を捨て、開封に遷都した。","この時点で金が滅亡したわけではない。","","17_モンゴル帝国の時代.md","p.272","L100"
"WHSO-05-17-01-041","一問一答","場所","チンギス＝ハンの中央アジア遠征で制圧された、本文に挙がる二つの主要都市は？","ブハラとサマルカンド。","オアシスの道の制圧と関連する。","","17_モンゴル帝国の時代.md","p.272","L100"
"WHSO-05-17-01-042","一問一答","原因","資料では、チンギス＝ハンが西夏を征服した理由をどう説明しているか？","西夏がホラズム遠征への参加を拒否したため。","征服の動機と、その遠征中の病死をつなげて押さえる。","","17_モンゴル帝国の時代.md","p.272","L100"
"WHSO-05-17-01-043","一問一答","関係","キプチャク・チャガタイ・イルの各ハン国を、それぞれチンギス＝ハン一族のどの家が支配したか？","キプチャクはジョチ家、チャガタイはチャガタイ家、イルはフレグ家。","系図と各地のウルスの対応。","","17_モンゴル帝国の時代.md","p.273","L150-L165"
"WHSO-05-17-01-044","一問一答","人物","チンギス＝ハンの遺産と軍団を受け継いだ末子は？","トゥルイ。","帝位に就いたオゴデイとは異なる。","","17_モンゴル帝国の時代.md","p.273","L171"
"WHSO-05-17-01-045","一問一答","用語の特定","オゴデイが、帝国全体の皇帝を示すために名乗った称号は？","カアン（大ハーン）。","他の王族が名乗るハンと区別された。","","17_モンゴル帝国の時代.md","p.273","L173"
"WHSO-05-17-01-046","一問一答","関係","資料では「カアン」と「ハン」をどう区別しているか？","カアンは帝国全体の皇帝の称号で、ハンは他の王族も名乗る称号。","諸ウルスと帝国全体の関係を理解する手がかり。","","17_モンゴル帝国の時代.md","p.273","L173"
"WHSO-05-17-01-047","一問一答","主体","バトゥが中央アジアから南ロシアへの遠征で征服した、トルコ系の遊牧民は？","キプチャク。","征服した人びとを取り込み、軍団を拡大した。","","17_モンゴル帝国の時代.md","p.273","L175"
"WHSO-05-17-01-048","一問一答","場所","バトゥ軍はポーランドへの分隊とは別に、本隊をどの国に進めたか？","ハンガリー。","本隊はさらにウィーン郊外に迫ったと説明される。","","17_モンゴル帝国の時代.md","p.273","L175"
"WHSO-05-17-01-049","一問一答","原因","バトゥがヨーロッパ方面から兵を引いた理由は？","オゴデイの死の知らせが届いたため。","君主の死が遠征の進行に影響した。","","17_モンゴル帝国の時代.md","p.273","L175"
"WHSO-05-17-01-050","一問一答","人物","オゴデイの後を継いだ第3代君主は？","グユク。","オゴデイの子で、バトゥと対立した。","","17_モンゴル帝国の時代.md","p.273","L179"
"WHSO-05-17-01-051","一問一答","原因","モンケがカアンに即位できた政治的背景は？","グユクの死後、有力者バトゥの支持を得たため。","王族間の勢力関係が皇位継承を左右した。","","17_モンゴル帝国の時代.md","p.273","L179"
"WHSO-05-17-01-052","一問一答","関係","モンケはクビライとフレグに、それぞれどの方面の遠征を任せたか？","クビライには中国を中心とする東方、フレグには西アジアを中心とする西方。","兄弟の担当方面を取り違えない。","","17_モンゴル帝国の時代.md","p.274","L196"
