"問題番号","問題スタイル","種類","問題文","回答","解説","出典URL","出典ファイル","出典ページ","出典行"
"WHSO-05-19-02-001","一問一答","原因","7世紀以降、西アジアと中国を結ぶ海上交易が拡大した背景は？","唐の大都市とイスラーム世界の都市文明が発展し、両者を結ぶ交易が盛んになったこと。","東南アジアは、二つの地域をつなぐ海上ルートの中継点となった。","","19_東南アジア世界.md","p.305","L107"
"WHSO-05-19-02-002","一問一答","用語の特定","華北の大都市と華南の港市を結び、唐代の海上交易にも関係した交通施設は？","大運河。","隋代に開通した大運河が、中国内部の輸送と海上交易を結びつけた。","","19_東南アジア世界.md","p.305","L107"
"WHSO-05-19-02-003","一問一答","場所","アッバース朝の都市文明の中心となり、東西交易の発展と関係した都は？","バグダード。","唐の都市文明とあわせ、交易需要の拡大として説明される。","","19_東南アジア世界.md","p.305","L107"
"WHSO-05-19-02-004","一問一答","主体","7世紀以降、西アジアから中国へ来航するようになった代表的な商人は？","アラブ系のムスリム商人。","イスラーム世界の発展が、東南アジアの交易にも影響した。","","19_東南アジア世界.md","p.305","L107"
"WHSO-05-19-02-005","一問一答","原因","マラッカ海峡を通る航路が発達したのはなぜか？","中継点となる港市がつくられ、安全に通行できるようになったため。","それ以前には、マレー半島を陸路で横断するルートも使われていた。","","19_東南アジア世界.md","p.305","L107"
"WHSO-05-19-02-006","一問一答","結果","マラッカ海峡の通行が進んだことは、西アジアと中国の交易をどう変えたか？","西アジアから中国まで、海の道を通って直接往来しやすくなった。","途中の港市や中継国家の発展を促した。","","19_東南アジア世界.md","p.305","L107"
"WHSO-05-19-02-007","一問一答","主体","マレー人の港市国家が連合し、パレンバンを都にマラッカ海峡を支配した国は？","シュリーヴィジャヤ（室利仏逝）。","スマトラ島を拠点とする海上交易国家である。","","19_東南アジア世界.md","p.305","L109"
"WHSO-05-19-02-008","一問一答","場所","シュリーヴィジャヤが都とした、スマトラ島の都市は？","パレンバン。","交易の拠点であるとともに、仏教研究の中心にもなった。","","19_東南アジア世界.md","p.305","L109"
"WHSO-05-19-02-009","一問一答","場所","シュリーヴィジャヤが支配し、交易上重要だった海峡は？","マラッカ海峡。","マレー半島とスマトラ島の間にある。","","19_東南アジア世界.md","p.305","L109"
"WHSO-05-19-02-010","一問一答","内容","シュリーヴィジャヤのパレンバンで、研究や布教が発展した仏教の系統は？","大乗仏教。","ビルマやタイに広がった上座部仏教とは区別する。","","19_東南アジア世界.md","p.305","L109"
"WHSO-05-19-02-011","一問一答","人物","帰国前にパレンバンへ長く滞在し、『南海寄帰内法伝』を著した唐の僧は？","義浄。","シュリーヴィジャヤが仏教の拠点だったことを示す人物である。","","19_東南アジア世界.md","p.305","L109"
"WHSO-05-19-02-012","一問一答","用語の特定","義浄がパレンバンで著した書物は？","『南海寄帰内法伝』。","人物・著作・滞在した国を対応させる。","","19_東南アジア世界.md","p.305","L109"
"WHSO-05-19-02-013","一問一答","主体","8世紀、ジャワ島のマレー人が建て、ボロブドゥールを建立した王朝は？","シャイレンドラ朝。","香料産地とマラッカ海峡を結ぶ交易で発展した。","","19_東南アジア世界.md","p.305","L109"
"WHSO-05-19-02-014","一問一答","場所","シャイレンドラ朝が交易で結びつけた、香料の産地である諸島は？","マルク諸島（モルッカ諸島）。","香料の供給地と、その西方の交易拠点をつなぐ役割を持った。","","19_東南アジア世界.md","p.305","L109"
"WHSO-05-19-02-015","一問一答","用語の特定","シャイレンドラ朝がジャワ島に建立した大乗仏教寺院は？","ボロブドゥール。","アンコール＝ワットやプランバナン寺院群と、宗教・王朝を区別する。","","19_東南アジア世界.md","p.305","L109"
"WHSO-05-19-02-016","一問一答","内容","ボロブドゥールは、どの宗教の建築物か？","大乗仏教の寺院。","建立したのはシャイレンドラ朝である。","","19_東南アジア世界.md","p.305","L109"
