"question_id","question","answer","explanation","type","style","source_url","source_file","source_page","source_line"
"WH-25-04-001","アンリ4世の死後に即位し、宰相リシュリューの補佐を受けたフランス王は？","ルイ13世。","幼少時は母マリ＝ド＝メディシスが摂政として実権を持った。","人物","一問一答","","25_近世のヨーロッパ②（イギリス・フランス）.md","404","319"
"WH-25-04-002","ルイ13世の幼少時に摂政を務めた母后は？","マリ＝ド＝メディシス。","ユグノー戦争期のカトリーヌ＝ド＝メディシスとは別人である。","人物","一問一答","","25_近世のヨーロッパ②（イギリス・フランス）.md","404","319"
"WH-25-04-003","1615年から1789年まで、招集されなくなったフランスの全国的な身分制議会は？","全国三部会（三部会）。","次に招集されるのはフランス革命の直前である。","用語の特定","一問一答","","25_近世のヨーロッパ②（イギリス・フランス）.md","404","319"
"WH-25-04-004","ルイ13世に仕え、官僚制の整備と反ハプスブルク外交を進めた宰相は？","リシュリュー。","国内での大貴族の抑圧と、国外でのブルボン家の勢力拡大を進めた。","人物","一問一答","","25_近世のヨーロッパ②（イギリス・フランス）.md","404","321"
"WH-25-04-005","リシュリューが権限を弱めた、大貴族の拠点となっていた司法機関は？","高等法院。","後にマザランへの反抗であるフロンドの乱の拠点にもなった。","用語の特定","一問一答","","25_近世のヨーロッパ②（イギリス・フランス）.md","404","323"
"WH-25-04-006","リシュリューは国内で、どのように大貴族の勢力を弱めたか？","官僚制を整えて地方支配を強め、高等法院の権限を抑え、反抗する貴族を弾圧した。","国王の支配を、大貴族の協力に頼る形から変えようとした。","内容","一問一答","","25_近世のヨーロッパ②（イギリス・フランス）.md","404","323"
"WH-25-04-007","リシュリューの対外政策の基本方針は？","反ハプスブルク外交。","ブルボン家の王権と対外的地位を強めるため、ハプスブルク家の勢力拡大を抑えた。","内容","一問一答","","25_近世のヨーロッパ②（イギリス・フランス）.md","404","325"
"WH-25-04-008","三十年戦争で、カトリック国フランスはどちらの陣営を支援したか？","新教側。","まずスウェーデンを支援し、後に自ら出兵して皇帝・スペインと戦った。","主体","一問一答","","25_近世のヨーロッパ②（イギリス・フランス）.md","404","325"
"WH-25-04-009","カトリック国フランスが三十年戦争で新教側を支援したのはなぜか？","宗派の一致より、ハプスブルク家の勢力を抑えることを優先したため。","宗教対立だけでは、近世ヨーロッパの同盟関係を説明できない。","原因","一問一答","","25_近世のヨーロッパ②（イギリス・フランス）.md","404","325"
"WH-25-04-010","フランスの新教側への介入によって、三十年戦争の性格はどう変わったか？","宗教戦争から、ハプスブルク家とブルボン家などが覇権を争う国際戦争へ変化した。","旧教国同士も対立することになった。","結果","一問一答","","25_近世のヨーロッパ②（イギリス・フランス）.md","405","333"
"WH-25-04-011","リシュリューが設置し、フランス語や古典文学の保護・整備を進めた学術機関は？","アカデミー＝フランセーズ。","政治的な中央集権化とともに、文化の保護も進めた。","用語の特定","一問一答","","25_近世のヨーロッパ②（イギリス・フランス）.md","405","342"
"WH-25-04-012","「太陽王」と呼ばれ、フランス絶対王政の全盛期を代表する国王は？","ルイ14世。","治世初期はマザランが実権を握り、その死後に親政を始めた。","人物","一問一答","","25_近世のヨーロッパ②（イギリス・フランス）.md","405","343"
"WH-25-04-013","リシュリューの政策を継承し、幼いルイ14世を補佐した宰相は？","マザラン。","三十年戦争への介入を続け、フロンドの乱を鎮圧した。","人物","一問一答","","25_近世のヨーロッパ②（イギリス・フランス）.md","405","344"
