"question_id","question","answer","explanation","type","style","source_url","source_file","source_page","source_line"
"WH-25-03-001","16世紀のフランスで、カルヴァン派の人々は何と呼ばれたか？","ユグノー。","初めは商工業者に、のちには貴族にも広がった。","用語の特定","一問一答","","25_近世のヨーロッパ②（イギリス・フランス）.md","402","261"
"WH-25-03-002","1562年、カトリックとユグノーの対立から始まったフランスの宗教戦争は？","ユグノー戦争。","ギーズ公によるユグノーの虐殺事件をきっかけに始まった。","用語の特定","一問一答","","25_近世のヨーロッパ②（イギリス・フランス）.md","402","261"
"WH-25-03-003","フランスのユグノー戦争が始まったのは何年か？","1562年。","1598年のナントの王令による収束まで、長期の内戦が続いた。","時期","一問一答","","25_近世のヨーロッパ②（イギリス・フランス）.md","402","261"
"WH-25-03-004","ユグノー戦争で、カトリック派の中心となった大貴族は？","ギーズ公。","ユグノー派のブルボン家・ナヴァル王と対立した。","人物","一問一答","","25_近世のヨーロッパ②（イギリス・フランス）.md","402","261"
"WH-25-03-005","ユグノー戦争で、ユグノー派の中心となったナヴァル王は何家の人物か？","ブルボン家。","フランス王家のヴァロワ家や、カトリック派のギーズ公と区別する。","主体","一問一答","","25_近世のヨーロッパ②（イギリス・フランス）.md","402","261"
"WH-25-03-006","幼いシャルル9世の母として摂政を務め、新旧両派の均衡を利用して王権強化を図った人物は？","カトリーヌ＝ド＝メディシス。","イタリアのメディチ家出身で、フランス王家ヴァロワ家の立場を守ろうとした。","人物","一問一答","","25_近世のヨーロッパ②（イギリス・フランス）.md","402","261"
"WH-25-03-007","ユグノー戦争で、王家が新旧両派の間で立場を変えた背景は？","両派の均衡を利用し、王権を強めようとしたため。","しかし実際には王権が弱まり、内戦が激しくなったと資料は説明する。","原因","一問一答","","25_近世のヨーロッパ②（イギリス・フランス）.md","402","261"
"WH-25-03-008","ユグノー戦争開始時、フランス王家だったのは何家か？","ヴァロワ家。","その断絶後、ブルボン家のアンリ4世が王位を継ぐ。","主体","一問一答","","25_近世のヨーロッパ②（イギリス・フランス）.md","402","267"
"WH-25-03-009","ユグノー戦争で、イギリスとスペインはそれぞれどちらの陣営を支援したか？","イギリスはユグノー派、スペインはカトリック派。","フランス国内の宗教対立に、周辺国の対立が持ち込まれた。","関係","一問一答","","25_近世のヨーロッパ②（イギリス・フランス）.md","402","274"
"WH-25-03-010","1572年、王族の婚礼のためパリに集まったユグノーが襲撃され、全国に広がった虐殺事件は？","サンバルテルミの虐殺。","新旧両派の和解を目指した婚礼が、かえって対立の激化につながった。","用語の特定","一問一答","","25_近世のヨーロッパ②（イギリス・フランス）.md","402","279"
"WH-25-03-011","サンバルテルミの虐殺の際、フランス王の妹マルグリートと結婚したユグノー派の指導者は？","ナヴァル王アンリ（のちのアンリ4世）。","ブルボン家の人物で、後にフランス王となった。","人物","一問一答","","25_近世のヨーロッパ②（イギリス・フランス）.md","402","279"
"WH-25-03-012","サンバルテルミの虐殺は、ユグノー戦争にどのような影響を与えたか？","宗教対立と内戦を激化させ、外国勢力の介入も強まった。","スペインのカトリック派支援に対し、イギリスやドイツの新教諸侯がユグノーを支援した。","結果","一問一答","","25_近世のヨーロッパ②（イギリス・フランス）.md","403","285"
"WH-25-03-013","アンリ3世の暗殺とヴァロワ家の断絶後、フランス王に即位した人物は？","アンリ4世。","ユグノー派のナヴァル王アンリが、フランス王位を継承した。","人物","一問一答","","25_近世のヨーロッパ②（イギリス・フランス）.md","403","287"
"WH-25-03-014","アンリ4世によって成立したフランスの王朝は？","ブルボン朝。","ヴァロワ朝に代わり、のちにルイ14世を出す王朝となった。","主体","一問一答","","25_近世のヨーロッパ②（イギリス・フランス）.md","403","287"
"WH-25-03-015","アンリ4世はフランスの宗教対立を収めるため、自身の宗派をどう変えたか？","ユグノーからカトリックへ改宗した。","カトリック派の支持を得る一方、後にユグノーの信仰も認めた。","内容","一問一答","","25_近世のヨーロッパ②（イギリス・フランス）.md","403","291"
