dataset_label,item_id,importance_rank,difficulty_label,curriculum_scope,unit,subunit,item,reading,aliases,prerequisite_ids,scale,region,reference_year,card_id,card_type,focus,question,answer,accepted_answers,explanation,confusable_with,distinction,formula,answer_unit,memory_aid,source_name,source_url,reading_map
大学受験地理_Deck1_全範囲の骨格,GE-000001,1,Deck 1｜全範囲の骨格,両方,地図・地理情報,位置,緯度,いど,なし,なし,世界,世界全体,該当なし,GE-000001-C01,identify,用語の識別,地球上の地点を、赤道から南北に何度離れているかで示す座標は何か。,緯度,緯度,赤道を0度、北極・南極を90度とする。,なし,なし,なし,なし,なし,国土地理院『地理教育の道具箱』,https://www.gsi.go.jp/CHIRIKYOUIKU/,なし
大学受験地理_Deck1_全範囲の骨格,GE-000002,2,Deck 1｜全範囲の骨格,両方,地図・地理情報,位置,経度,けいど,なし,なし,世界,世界全体,該当なし,GE-000002-C01,identify,用語の識別,地球上の地点を、本初子午線から東西に何度離れているかで示す座標は何か。,経度,経度,本初子午線を0度として東経・西経で表す。,なし,なし,なし,なし,なし,国土地理院『地理教育の道具箱』,https://www.gsi.go.jp/CHIRIKYOUIKU/,なし
大学受験地理_Deck1_全範囲の骨格,GE-000003,3,Deck 1｜全範囲の骨格,両方,地図・地理情報,位置,赤道,せきどう,なし,なし,世界,世界全体,該当なし,GE-000003-C01,identify,用語の識別,緯度0度を通り、地球を北半球と南半球に分ける大円は何か。,赤道,赤道,赤道は地球の自転軸に垂直な平面と地表の交線である。,なし,なし,なし,なし,なし,国土地理院『地理教育の道具箱』,https://www.gsi.go.jp/CHIRIKYOUIKU/,なし
大学受験地理_Deck1_全範囲の骨格,GE-000004,4,Deck 1｜全範囲の骨格,両方,地図・地理情報,位置,本初子午線,ほんしょしごせん,なし,なし,世界,世界全体,該当なし,GE-000004-C01,identify,用語の識別,経度0度の基準となり、イギリスのグリニッジを通る経線は何か。,本初子午線,本初子午線,世界の経度を測る基準である。,なし,なし,なし,なし,なし,国土地理院『地理教育の道具箱』,https://www.gsi.go.jp/CHIRIKYOUIKU/,本初子午線=ほんしょしごせん
大学受験地理_Deck1_全範囲の骨格,GE-000005,5,Deck 1｜全範囲の骨格,両方,地図・地理情報,時差,標準時,ひょうじゅんじ,なし,なし,世界,世界全体,該当なし,GE-000005-C01,identify,用語の識別,ある地域で共通に用いる、基準となる経線に合わせた時刻を何というか。,標準時,標準時,多くの国では標準時子午線を基準に定める。,なし,なし,なし,なし,なし,文部科学省『高等学校学習指導要領解説 地理歴史編』,https://www.mext.go.jp/content/20220802-mxt_kyoiku02-100002620_03.pdf,なし
大学受験地理_Deck1_全範囲の骨格,GE-000006,6,Deck 1｜全範囲の骨格,両方,地図・地理情報,時差,時差,じさ,なし,なし,世界,世界全体,該当なし,GE-000006-C01,formula,基本式,時差を経度差から求める基本式を答えよ。,経度差÷15,経度差÷15｜経度差を15で割る,地球は24時間で360度回転するため、経度15度につき1時間が目安となる。,なし,なし,時差（時間）=経度差（度）÷15,時間,なし,文部科学省『高等学校学習指導要領解説 地理歴史編』,https://www.mext.go.jp/content/20220802-mxt_kyoiku02-100002620_03.pdf,なし
大学受験地理_Deck1_全範囲の骨格,GE-000007,7,Deck 1｜全範囲の骨格,両方,地図・地理情報,時差,日付変更線,ひづけへんこうせん,なし,なし,世界,世界全体,該当なし,GE-000007-C01,identify,用語の識別,ほぼ経度180度に沿い、越えると暦の日付を1日調整する線は何か。,日付変更線,日付変更線,国や島を分断しにくいよう、経度180度から曲がる部分がある。,なし,なし,なし,なし,なし,文部科学省『高等学校学習指導要領解説 地理歴史編』,https://www.mext.go.jp/content/20220802-mxt_kyoiku02-100002620_03.pdf,日付変更線=ひづけへんこうせん
大学受験地理_Deck1_全範囲の骨格,GE-000008,8,Deck 1｜全範囲の骨格,両方,地図・地理情報,位置,絶対的位置,ぜったいいち,なし,なし,世界,世界全体,該当なし,GE-000008-C01,identify,用語の識別,緯度・経度などの座標で示す位置を何というか。,絶対的位置,絶対的位置,他の場所との関係ではなく、座標そのもので表す。,相対的位置,絶対的位置は座標、相対的位置は他地域との関係で示す。,なし,なし,なし,文部科学省『高等学校学習指導要領解説 地理歴史編』,https://www.mext.go.jp/content/20220802-mxt_kyoiku02-100002620_03.pdf,なし
大学受験地理_Deck1_全範囲の骨格,GE-000009,9,Deck 1｜全範囲の骨格,両方,地図・地理情報,位置,相対的位置,そうたいいち,なし,なし,世界,世界全体,該当なし,GE-000009-C01,identify,用語の識別,周辺の国、交通路、海などとの関係で示す位置を何というか。,相対的位置,相対的位置,位置の意味は交通や政治・経済の変化によって変わり得る。,絶対的位置,相対的位置は周辺との関係、絶対的位置は座標で示す。,なし,なし,なし,文部科学省『高等学校学習指導要領解説 地理歴史編』,https://www.mext.go.jp/content/20220802-mxt_kyoiku02-100002620_03.pdf,なし
大学受験地理_Deck1_全範囲の骨格,GE-000010,10,Deck 1｜全範囲の骨格,両方,地図・地理情報,地図表現,縮尺,しゅくしゃく,なし,なし,世界,世界全体,該当なし,GE-000010-C01,definition,定義,縮尺とは何と何の比か。,地図上の距離と実際の距離の比,地図上の距離と実際の距離の比,分母が小さいほど大縮尺で、狭い範囲を詳しく示す。,なし,なし,縮尺=地図上の距離÷実際の距離,なし,なし,国土地理院『地理教育の道具箱』,https://www.gsi.go.jp/CHIRIKYOUIKU/,縮尺=しゅくしゃく
大学受験地理_Deck1_全範囲の骨格,GE-000011,11,Deck 1｜全範囲の骨格,両方,地図・地理情報,地図表現,大縮尺地図,だいしゅくしゃくちず,なし,GE-000010,世界,世界全体,該当なし,GE-000011-C01,identify,用語の識別,狭い範囲を詳しく表し、縮尺の分母が比較的小さい地図を何というか。,大縮尺地図,大縮尺地図,市街地図や大縮尺の地形図が例である。,小縮尺地図,大縮尺は狭く詳しく、小縮尺は広く概略的に示す。,なし,なし,なし,国土地理院『地理教育の道具箱』,https://www.gsi.go.jp/CHIRIKYOUIKU/,なし
大学受験地理_Deck1_全範囲の骨格,GE-000012,12,Deck 1｜全範囲の骨格,両方,地図・地理情報,地図表現,小縮尺地図,しょうしゅくしゃくちず,なし,GE-000010,世界,世界全体,該当なし,GE-000012-C01,identify,用語の識別,広い範囲を概略的に表し、縮尺の分母が比較的大きい地図を何というか。,小縮尺地図,小縮尺地図,世界地図や大陸地図が例である。,大縮尺地図,小縮尺は広く概略的に、大縮尺は狭く詳しく示す。,なし,なし,なし,国土地理院『地理教育の道具箱』,https://www.gsi.go.jp/CHIRIKYOUIKU/,なし
