dataset_label,item_id,importance_rank,difficulty_label,unit,subunit,item,reading,aliases,prerequisite_ids,time_scale,spatial_scale,card_id,card_type,focus,question,answer,accepted_answers,explanation,confusable_with,distinction,formula,answer_unit,memory_aid,source_name,source_url,reading_map
地学基礎 Deck1 全範囲最重要骨格,ES-000001,1,Deck1｜全範囲の最重要骨格,地球のすがた,惑星としての地球,地球,ちきゅう,なし,なし,該当なし,太陽系,ES-000001-C01,identify,用語の同定,太陽から3番目を公転し、表面に液体の海が広がる惑星を何というか。,地球,地球,太陽から3番目を公転し、表面に液体の海が広がる惑星。,なし,なし,なし,なし,なし,文部科学省「高等学校学習指導要領解説 理科編 理数編」,https://www.mext.go.jp/content/20250311-mxt_kyoiku02-100002620_05.pdf,なし
地学基礎 Deck1 全範囲最重要骨格,ES-000002,2,Deck1｜全範囲の最重要骨格,地球のすがた,惑星としての地球,地球の形,ちきゅうのかたち,なし,なし,該当なし,地球規模,ES-000002-C01,structure,地球の形状,地球の形は、厳密にはどのような形か。,赤道方向にわずかにふくらんだ回転楕円体,赤道方向にわずかにふくらんだ回転楕円体｜扁平な回転楕円体｜回転楕円体,地球はほぼ球形だが、自転の影響で赤道半径が極半径より少し大きい。,完全な球,赤道方向にわずかにふくらむ。,なし,なし,なし,国土地理院「世界測地系移行に関する質問集」,https://www.gsi.go.jp/LAW/G2000-g2000faq-1.htm,なし
地学基礎 Deck1 全範囲最重要骨格,ES-000003,3,Deck1｜全範囲の最重要骨格,地球のすがた,惑星としての地球,地球の半径,ちきゅうのはんけい,なし,なし,該当なし,地球規模,ES-000003-C01,scale,地球の大きさ,地球の平均半径は約何kmか。,約6400 km,約6400 km｜6400 km｜約6370 km,地球の平均半径は約6.4×10^3 kmで、直径は約1.3×10^4 kmである。,なし,なし,なし,km,なし,国土地理院「世界測地系移行に関する質問集」,https://www.gsi.go.jp/LAW/G2000-g2000faq-1.htm,なし
地学基礎 Deck1 全範囲最重要骨格,ES-000004,4,Deck1｜全範囲の最重要骨格,地球のすがた,地球内部の層構造,地球内部の層構造,ちきゅうないぶのそうこうぞう,なし,なし,該当なし,地球規模,ES-000004-C01,structure,層の順序,物質の違いに基づき、地球内部の主要な4層を外側から順に答えよ。,地殻→マントル→外核→内核,地殻→マントル→外核→内核｜地殻、マントル、外核、内核,地球内部は外側から地殻、マントル、外核、内核に分かれる。外核は液体、内核は固体である。,なし,なし,なし,なし,外側から地・マ・外・内,地質調査総合センター「地球の構造」,https://www.gsj.jp/geology/geology-japan/geology-earth/index.html,地殻=ちかく｜外核=がいかく｜内核=ないかく
地学基礎 Deck1 全範囲最重要骨格,ES-000004,4,Deck1｜全範囲の最重要骨格,地球のすがた,地球内部の層構造,地球内部の層構造,ちきゅうないぶのそうこうぞう,なし,なし,該当なし,地球規模,ES-000004-C02,structure,物質と状態,地球内部の4層のうち、液体である層と固体である最深部の層を答えよ。,液体は外核、最深部の固体は内核,液体は外核、最深部の固体は内核｜外核が液体、内核が固体｜液体は外核、固体は内核,S波が外核を通らないことなどから外核は液体、内核は固体と考えられている。,なし,なし,なし,なし,外側から地・マ・外・内,地質調査総合センター「地球の構造」,https://www.gsj.jp/geology/geology-japan/geology-earth/index.html,地殻=ちかく｜外核=がいかく｜内核=ないかく
地学基礎 Deck1 全範囲最重要骨格,ES-000005,5,Deck1｜全範囲の最重要骨格,地球のすがた,地球内部の層構造,地殻,ちかく,なし,ES-000004,該当なし,地球規模,ES-000005-C01,identify,用語の同定,地球内部の最も外側にある薄い固体の層を何というか。,地殻,地殻,地球内部の最も外側にある薄い固体の層。,リソスフェア,地殻は物質組成による区分で、リソスフェアは力学的な区分。,なし,なし,なし,地質調査総合センター「地球の構造」,https://www.gsj.jp/geology/geology-japan/geology-earth/index.html,地殻=ちかく
地学基礎 Deck1 全範囲最重要骨格,ES-000006,6,Deck1｜全範囲の最重要骨格,地球のすがた,地球内部の層構造,マントル,まんとる,なし,ES-000004,万〜億年,地球規模,ES-000006-C01,identify,用語の同定,地殻の下から外核の上までを占める、主に岩石からなる層を何というか。,マントル,マントル,地殻の下から外核の上までを占める、主に岩石からなる層。,アセノスフェア,マントルは組成による広い区分で、アセノスフェアは上部マントル内の軟らかい層。,なし,なし,なし,地質調査総合センター「地球の構造」,https://www.gsj.jp/geology/geology-japan/geology-earth/index.html,なし
地学基礎 Deck1 全範囲最重要骨格,ES-000007,7,Deck1｜全範囲の最重要骨格,地球のすがた,地球内部の層構造,外核,がいかく,なし,ES-000004,該当なし,地球規模,ES-000007-C01,identify,用語の同定,マントルと内核の間にある、主に鉄とニッケルからなる液体の層を何というか。,外核,外核,マントルと内核の間にある、主に鉄とニッケルからなる液体の層。,内核,外核は液体、内核は固体。,なし,なし,なし,地質調査総合センター「地球の構造」,https://www.gsj.jp/geology/geology-japan/geology-earth/index.html,外核=がいかく
地学基礎 Deck1 全範囲最重要骨格,ES-000007,7,Deck1｜全範囲の最重要骨格,地球のすがた,地球内部の層構造,外核,がいかく,なし,ES-000004,該当なし,地球規模,ES-000007-C02,relation,地震波との関係,外核が液体であることを示す重要な地震波の事実は何か。,S波が外核を通過しない,S波が外核を通過しない,S波は液体中を伝わらないため、外核を通る経路では観測されない。,P波,P波は液体の外核も通過できる。,なし,なし,なし,地質調査総合センター「地球の構造」,https://www.gsj.jp/geology/geology-japan/geology-earth/index.html,外核=がいかく
地学基礎 Deck1 全範囲最重要骨格,ES-000008,8,Deck1｜全範囲の最重要骨格,地球のすがた,地球内部の層構造,内核,ないかく,なし,ES-000004,該当なし,地球規模,ES-000008-C01,identify,用語の同定,地球中心部にある、主に鉄とニッケルからなる固体の層を何というか。,内核,内核,地球中心部にある、主に鉄とニッケルからなる固体の層。,外核,内核は固体、外核は液体。,なし,なし,なし,地質調査総合センター「地球の構造」,https://www.gsj.jp/geology/geology-japan/geology-earth/index.html,内核=ないかく
