dataset_label,term_id,importance_rank,difficulty_label,word,part_of_speech,meaning,accepted_answers,example_sentence,example_translation
英単語段階別デッキ｜Deck 1｜基礎確認500語,EN-000001,1,Deck 1｜基礎確認,although,接続詞,〜だけれども,〜だけれども|〜にもかかわらず|〜ではあるが,"Although it was raining, we went for a walk.",雨が降っていたが、私たちは散歩に出かけた。
英単語段階別デッキ｜Deck 1｜基礎確認500語,EN-000002,2,Deck 1｜基礎確認,whether,接続詞,〜かどうか,〜かどうか|〜であろうとなかろうと,I do not know whether he will come.,彼が来るかどうか、私は分からない。
英単語段階別デッキ｜Deck 1｜基礎確認500語,EN-000003,3,Deck 1｜基礎確認,unless,接続詞,〜でない限り,〜でない限り|もし〜でなければ,You cannot enter unless you have a ticket.,チケットを持っていなければ入れない。
英単語段階別デッキ｜Deck 1｜基礎確認500語,EN-000004,4,Deck 1｜基礎確認,neither,代名詞・限定詞・副詞,どちらも〜ない,どちらも〜ない|どちらの〜もない|〜もまた…ない,Neither answer is correct.,どちらの答えも正しくない。
英単語段階別デッキ｜Deck 1｜基礎確認500語,EN-000005,5,Deck 1｜基礎確認,either,代名詞・限定詞・副詞,どちらか一方,どちらか一方|どちらの〜でも|〜もまた…ない,You may choose either option.,どちらの選択肢を選んでもよい。
英単語段階別デッキ｜Deck 1｜基礎確認500語,EN-000006,6,Deck 1｜基礎確認,instead,副詞,その代わりに,その代わりに|そうではなく,We stayed home instead.,私たちはその代わりに家にいた。
英単語段階別デッキ｜Deck 1｜基礎確認500語,EN-000007,7,Deck 1｜基礎確認,perhaps,副詞,おそらく,おそらく|ひょっとすると,Perhaps she forgot the meeting.,おそらく彼女は会議を忘れたのだろう。
英単語段階別デッキ｜Deck 1｜基礎確認500語,EN-000008,8,Deck 1｜基礎確認,several,限定詞・代名詞,いくつかの,いくつかの|数人の|数個の,Several students asked the same question.,数人の生徒が同じ質問をした。
英単語段階別デッキ｜Deck 1｜基礎確認500語,EN-000009,9,Deck 1｜基礎確認,enough,限定詞・代名詞・副詞,十分な,十分な|十分に,We have enough time to finish the work.,私たちには作業を終えるのに十分な時間がある。
英単語段階別デッキ｜Deck 1｜基礎確認500語,EN-000010,10,Deck 1｜基礎確認,quite,副詞,かなり,かなり|まったく|完全に,The test was quite difficult.,その試験はかなり難しかった。
英単語段階別デッキ｜Deck 1｜基礎確認500語,EN-000011,11,Deck 1｜基礎確認,toward,前置詞,〜の方へ,〜の方へ|〜に向かって|〜に対して,She walked toward the station.,彼女は駅の方へ歩いた。
英単語段階別デッキ｜Deck 1｜基礎確認500語,EN-000012,12,Deck 1｜基礎確認,despite,前置詞,〜にもかかわらず,〜にもかかわらず,"Despite the rain, the game continued.",雨にもかかわらず、試合は続いた。
英単語段階別デッキ｜Deck 1｜基礎確認500語,EN-000013,13,Deck 1｜基礎確認,among,前置詞,〜の間で,〜の間で|〜の中に,The news spread among the students.,その知らせは生徒たちの間に広まった。
英単語段階別デッキ｜Deck 1｜基礎確認500語,EN-000014,14,Deck 1｜基礎確認,within,前置詞・副詞,〜以内に,〜以内に|〜の内側に,Please reply within three days.,3日以内に返事をしてください。
英単語段階別デッキ｜Deck 1｜基礎確認500語,EN-000015,15,Deck 1｜基礎確認,beyond,前置詞・副詞,〜を越えて,〜を越えて|〜の向こうに|〜の範囲外で,The village lies beyond the mountain.,その村は山の向こうにある。
英単語段階別デッキ｜Deck 1｜基礎確認500語,EN-000016,16,Deck 1｜基礎確認,throughout,前置詞・副詞,〜の至る所に,〜の至る所に|〜の間じゅう,It rained throughout the night.,一晩中、雨が降った。
英単語段階別デッキ｜Deck 1｜基礎確認500語,EN-000017,17,Deck 1｜基礎確認,against,前置詞,〜に反対して,〜に反対して|〜に対して|〜にもたれて,Many people voted against the plan.,多くの人がその計画に反対票を投じた。
英単語段階別デッキ｜Deck 1｜基礎確認500語,EN-000018,18,Deck 1｜基礎確認,except,前置詞・接続詞,〜を除いて,〜を除いて|〜以外は,Everyone came except Tom.,トムを除いて全員が来た。
英単語段階別デッキ｜Deck 1｜基礎確認500語,EN-000019,19,Deck 1｜基礎確認,besides,前置詞・副詞,〜に加えて,〜に加えて|そのうえ,"Besides English, she studies French.",英語に加えて、彼女はフランス語も学んでいる。
英単語段階別デッキ｜Deck 1｜基礎確認500語,EN-000020,20,Deck 1｜基礎確認,however,副詞・接続副詞,しかしながら,しかしながら|どんなに〜でも,"The task was difficult; however, we completed it.",その作業は難しかった。しかし、私たちは完了した。
英単語段階別デッキ｜Deck 1｜基礎確認500語,EN-000021,21,Deck 1｜基礎確認,therefore,副詞・接続副詞,したがって,したがって|それゆえに,"The road was closed; therefore, we took another route.",道路が閉鎖されていた。したがって、私たちは別の道を通った。
英単語段階別デッキ｜Deck 1｜基礎確認500語,EN-000022,22,Deck 1｜基礎確認,otherwise,副詞,さもなければ,さもなければ|それ以外の点では|別のやり方で,"Hurry, otherwise you will miss the train.",急ぎなさい。さもなければ電車に乗り遅れる。
英単語段階別デッキ｜Deck 1｜基礎確認500語,EN-000023,23,Deck 1｜基礎確認,moreover,副詞・接続副詞,そのうえ,そのうえ|さらに,"The plan is simple; moreover, it is inexpensive.",その計画は簡単で、そのうえ費用も安い。
英単語段階別デッキ｜Deck 1｜基礎確認500語,EN-000024,24,Deck 1｜基礎確認,meanwhile,副詞,その間に,その間に|一方では,"I prepared dinner; meanwhile, he set the table.",私が夕食を準備する間に、彼は食卓を整えた。
英単語段階別デッキ｜Deck 1｜基礎確認500語,EN-000025,25,Deck 1｜基礎確認,indeed,副詞,実際に,実際に|確かに|本当に,The result was indeed surprising.,その結果は実際に驚くべきものだった。
